Rank,Country,Region,Arrivals,Receipts (USD billion),Receipts per arrival (USD)
1,France,Europe,100,68.6,686
2,Spain,Europe,85.17,92,"1,080"
3,United States,Americas,66.48,175.9,"2,645"
4,Italy,Europe,57.25,55.9,976
5,Turkey,Middle East,55.16,49.5,897
6,Mexico,Americas,42.15,30.8,731
7,United Kingdom,Europe,37.22,73.9,"1,986"
8,Germany,Europe,34.8,37.4,"1,074"
9,Greece,Europe,32.74,22.3,680
10,Austria,Europe,30.91,25,808
11,Thailand,Asia Pacific,28.15,29.7,"1,055"
12,Saudi Arabia,Middle East,27.42,36,"1,312"
13,Japan,Asia Pacific,25.07,38.6,"1,539"
14,Netherlands,Europe,20.3,20.2,993
15,Malaysia,Asia Pacific,20.14,14.8,735
16,Poland,Europe,18.99,15,791
17,Canada,Americas,18.34,39.2,"2,138"
18,Hong Kong (China),Asia Pacific,17.16,21.1,"1,228"
19,Morocco,Africa,14.52,10.3,711
20,Macao (China),Asia Pacific,14.23,32.6,"2,288"
21,Hungary,Europe,12.93,8,615
22,Vietnam,Asia Pacific,12.6,9.2,730
23,Korea (ROK),Asia Pacific,11.03,15.3,"1,388"
24,Albania,Europe,9.67,4.5,467
25,Tunisia,Africa,9.37,2.5,271
26,South Africa,Americas,8.48,5.7,669
27,Dominican Rep.,Americas,8.06,9.8,"1,210"
28,Sweden,Europe,7.53,9.8,"1,307"
29,Argentina,Americas,7.29,5.4,747
30,Australia,Asia Pacific,7.19,46.6,"6,480"
31,Uzbekistan,Asia Pacific,6.63,2.2,327
32,Taiwan (pr. of China),Asia Pacific,6.49,8.7,"1,349"
33,Brazil,Americas,5.91,6.9,"1,169"
34,Iran,Middle East,5.87,–,–
35,Colombia,Americas,5.63,7.6,"1,346"
36,Cambodia,Asia Pacific,5.45,3.1,565
37,Jordan,Middle East,5.35,7.4,"1,384"
38,Puerto Rico,Americas,5.05,–,–
39,Philippines,Asia Pacific,5,9.1,"1,822"
40,Georgia,Europe,4.67,4.1,883
41,Qatar,Middle East,4.05,8.8,"2,183"
42,Andorra,Europe,4.05,–,–
43,Cyprus,Middle East,3.85,3.2,841
44,Chile,Americas,3.73,2.4,644
45,Israel,Middle East,3.01,6,"1,987"
46,Malta,Europe,2.98,2.1,720
47,Jamaica,Americas,2.88,–,–
48,Costa Rica,Americas,2.75,4.8,"1,733"
49,Finland,Europe,2.56,2.7,"1,041"
50,Peru,Americas,2.52,2.6,"1,045"
